account_value,date,daily_return
1000000.0,2024-03-04,
977310.9562400002,2024-03-05,-0.022689043759999805
985381.0201000001,2024-03-06,0.008257416749984925
994809.6484170002,2024-03-07,0.009568510174920108
986347.6766970002,2024-03-08,-0.008506121481094642
967565.4582640001,2024-03-11,-0.019042188547446437
979473.2682640001,2024-03-12,0.012306981298572772
966449.0834640003,2024-03-13,-0.013297131450135113
942269.5845040001,2024-03-14,-0.025018906193520984
943751.0082240002,2024-03-15,0.0015721867121285538
951348.4770340003,2024-03-18,0.008050289476561723
949932.3211557003,2024-03-19,-0.0014885774376968142
958083.9884857002,2024-03-20,0.008581313793052603
963143.3084857003,2024-03-21,0.005280664389347045
969771.3833457003,2024-03-22,0.006881711996131745
968801.6368557003,2024-03-25,-0.0009999743307070874
952442.1195320004,2024-03-26,-0.016886343603625176
928334.1809320003,2024-03-27,-0.02531170987256004
929425.4666620004,2024-03-28,0.0011755311313697003
929495.4809420004,2024-04-01,7.533070968190891e-05
