account_value,date,daily_return
955196.7808220007,2024-04-30,
944927.2324120008,2024-05-01,-0.010751238505182559
941869.0011720009,2024-05-02,-0.003236472751656727
956334.5698320006,2024-05-03,0.01535836580458616
968800.2718920007,2024-05-06,0.01303487550616289
956455.1038920009,2024-05-07,-0.012742737959693717
952306.9971120008,2024-05-08,-0.004336959218598557
958034.1027220008,2024-05-09,0.006013927890237358
957322.2481620008,2024-05-10,-0.0007430367645342439
951542.6380520008,2024-05-13,-0.0060372670969430775
963318.2198920009,2024-05-14,0.012375254002392477
976731.5729464011,2024-05-15,0.013924114355382988
966838.387396401,2024-05-16,-0.010128868385155587
956110.193316401,2024-05-17,-0.0110961606612352
943919.5416164012,2024-05-20,-0.012750258061484332
934521.944016401,2024-05-21,-0.009955930760695342
893602.9940164011,2024-05-22,-0.04378597020861574
889361.6757664011,2024-05-23,-0.004746311592955799
890127.5810164012,2024-05-24,0.0008611853544735482
879728.7984264011,2024-05-28,-0.011682350723394186
