account_rewards,date
-5013.569309999701,2024-04-02
-1756.935530000017,2024-04-03
8685.576710000169,2024-04-04
4280.547039999976,2024-04-05
447.5900000000838,2024-04-08
-14618.560000000056,2024-04-09
8693.986300000106,2024-04-10
-21341.124290000065,2024-04-11
-7642.345340000116,2024-04-12
3181.5599999999395,2024-04-15
58.18410000007134,2024-04-16
-402.07411999988835,2024-04-17
-1603.6445999999996,2024-04-18
5100.264329999918,2024-04-19
9176.630000000121,2024-04-22
22273.830930000055,2024-04-23
8878.319459999911,2024-04-24
7080.640000000014,2024-04-25
37376.74419999996,2024-04-26
