date,AAPL.US,AMD.US,CCL.US,GLD.US,INTC.US,JD.US,LULU.US,META.US,MSFT.US,NVDA.US,ORCL.US,PLTR.US,TSLA.US
2024-03-04,0,566,1000,1000,1000,1000,0,0,1000,0,0,0,1000
2024-03-05,143,120,-422,782,212,-17,0,33,-872,0,0,0,-274
2024-03-06,-143,0,0,0,-11,1,0,0,0,30,0,0,1000
2024-03-07,0,0,29,-133,-979,0,0,241,-128,0,0,0,0
2024-03-08,0,0,-529,0,-222,0,0,434,0,-30,0,0,-1000
2024-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-12,0,0,-78,0,0,19,0,-708,0,385,0,0,0
2024-03-13,0,0,0,0,0,-516,0,0,0,0,0,0,85
2024-03-14,0,0,0,-91,4,-487,0,0,0,107,0,0,-388
2024-03-15,0,0,1,0,-4,0,0,0,0,0,0,0,1
2024-03-18,0,0,8,0,0,0,0,0,0,83,0,0,-424
2024-03-19,0,0,-9,0,0,5,0,0,0,0,0,0,0
2024-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-21,0,0,0,0,0,14,0,524,0,-292,0,0,0
2024-03-22,0,-686,0,-1558,0,-19,0,-524,0,-283,0,0,0
2024-03-25,0,0,0,0,0,1,0,0,0,837,0,0,1000
2024-03-26,0,0,0,0,0,4,0,0,1,191,0,0,-1000
2024-03-27,0,0,1,0,0,15,0,0,-1,0,0,0,0
2024-03-28,0,0,2,0,0,-20,0,0,0,0,4,0,0
