date,AAPL.US,AMD.US,CCL.US,GLD.US,INTC.US,JD.US,LULU.US,META.US,MSFT.US,NVDA.US,ORCL.US,PLTR.US,TSLA.US
2024-04-30,0,0,0,-289,-6,2,575,0,0,0,0,-382,-753
2024-05-01,0,0,0,-712,0,7,0,403,-13,0,1000,-541,-684
2024-05-02,0,0,1,0,0,3,-369,32,0,0,1000,0,0
2024-05-03,0,0,-1,0,0,-12,0,33,0,0,-12,-566,0
2024-05-06,480,0,1000,0,0,1000,-579,-468,0,0,-1000,-1000,0
2024-05-07,-480,0,-1000,1,3,0,0,457,295,0,-35,1000,1000
2024-05-08,0,0,0,-1,-3,2,1,670,-295,0,0,-1000,-1000
2024-05-09,0,0,1,0,0,0,0,0,0,0,0,0,0
2024-05-10,0,0,-1,0,0,7,53,-887,1000,0,0,-590,0
2024-05-13,0,0,0,0,0,1,1,230,-211,0,0,-1000,0
2024-05-14,0,0,0,0,0,0,1,0,-676,356,-192,-1000,0
2024-05-15,0,0,0,0,0,3,0,0,0,0,18,-105,0
2024-05-16,0,0,0,0,0,8,1,0,0,100,-779,0,0
2024-05-17,0,0,0,0,0,1000,1000,-470,356,-456,990,0,0
2024-05-20,0,0,0,0,0,3,23,0,-311,0,1000,0,0
2024-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-22,0,0,1,0,0,3,0,0,-158,0,544,0,0
2024-05-23,0,0,-1,0,0,2,11,0,0,0,-27,0,0
2024-05-24,0,0,0,0,0,3,0,47,0,0,-184,0,0
